group,oligo_gdtha,oligo_gdtts,T1272s4_lddt,tm_score,T1272s4_rmsd
QA164_2,0.02893800000000001,0.046528999999999994,0.0035500000000000063,0.004083000000000007,1.729519999999999
QA345_2,0.03471600000000001,0.06478299999999998,0.003561000000000006,0.04124699999999998,14.149229999999998
QA264_2,0.13319000000000003,0.304115,0.015532000000000027,0.13964099999999996,146.84794200000002
QA393_2,0.03464200000000001,0.085453,0.004530000000000008,0.05753499999999998,29.60389400000001
QA051_2,0.036122,0.072599,0.0037240000000000064,0.04996499999999999,38.666009999999986
QA148_2,0.11288000000000002,0.25076200000000004,0.01161600000000002,0.10927499999999998,130.35981500000003
QA029_2,0.037701000000000005,0.10957099999999999,0.0043700000000000076,0.147795,124.25152400000002
QA212_2,0.07917600000000002,0.21395399999999995,0.0077220000000000144,0.185417,199.544062
QA273_2,0.030309000000000013,0.06057599999999999,0.003919000000000007,0.04594599999999997,36.367198000000016
QA312_2,0.10149000000000002,0.240298,0.01095900000000002,0.170899,200.04501
QA122_2,0.03526900000000001,0.10802800000000003,0.006174000000000011,0.174056,128.689474
QA476_2,0.07131100000000001,0.18164499999999997,0.008358000000000015,0.15290899999999996,164.409848
QA207_2,0.035428,0.06275999999999998,0.0036730000000000066,0.02640099999999997,9.116454999999998
QA272_2,0.03428900000000001,0.062301999999999996,0.004458000000000008,0.034970999999999974,11.662304999999996
QA443_2,0.03159700000000001,0.052055,0.004379000000000008,0.023786999999999992,14.122194000000007
QA319_2,0.03635,0.06340299999999999,0.003961000000000007,0.042644999999999975,13.116392999999999
QA188_2,0.11766000000000001,0.28417,0.015342000000000027,0.173988,232.52030200000004
QAptm_2,0.03412700000000002,0.10928000000000004,0.005180000000000009,0.152497,129.24215400000003
QAplddts_2,0.035585,0.06363999999999999,0.0044090000000000075,0.03197999999999997,10.900414999999997
QA425_2,0.03456100000000001,0.06454799999999998,0.003775000000000006,0.04040899999999997,14.330095
QA331_2,0.03617900000000001,0.09983500000000002,0.004204000000000008,0.08197800000000001,100.04267199999998
QA314_2,0.035659,0.085013,0.003881000000000007,0.05650799999999999,32.46954200000002
QA110_2,0.03409100000000001,0.044572,0.005237000000000009,0.005286999999999998,1.743898000000002
QA050_2,0.09726700000000002,0.20809300000000003,0.008375000000000016,0.186913,169.18319400000001
