,dockq_ave,rmsd,lddt,ilddt,qs_global,oligo_gdtha,ics,dockq_wave,oligo_gdtts,tm_score,qs_best,ips
dockq_ave,0.00457448367175945,-0.6835407165192375,0.0002689935025847253,0.0012156085728461446,0.0005540261478472832,0.0021745873637404427,0.0001253026010596127,0.004572986343838554,0.005317984882470483,0.010919676955418256,0.002572735466703217,0.0011359228223700609
rmsd,-0.6835407165192375,174.35164778515394,-0.5639336999235824,-0.3828044049604745,-0.1462811632600623,-0.5891225200381524,-0.02005926162027712,-0.683314756607277,-1.2861972452010677,-2.5550321701646777,-0.5243899767747948,-0.365380689675418
lddt,0.0002689935025847253,-0.5639336999235824,0.05126700819604696,0.010133902103453767,0.00423376175120709,0.013802437833409455,0.0003097822642153598,0.0002683416798214682,0.022734247340273815,0.028666515508035017,0.008525625731024347,0.0044531971584692255
ilddt,0.0012156085728461446,-0.3828044049604745,0.010133902103453767,0.0028974376930915825,0.001183228911176815,0.0035716506811159033,0.00012595427475860205,0.0012156421836076875,0.006513193662085214,0.009666335131273407,0.0027787459020625666,0.0018104504766004138
qs_global,0.0005540261478472832,-0.1462811632600623,0.00423376175120709,0.001183228911176815,0.0006800084255812253,0.0013085671838619429,0.00013567180809309298,0.0005538300272421328,0.0023955379100616893,0.0036266278576975257,0.0013602780178473437,0.0009756787046663982
oligo_gdtha,0.0021745873637404427,-0.5891225200381524,0.013802437833409455,0.0035716506811159033,0.0013085671838619429,0.005700543288548333,5.10715942366406e-05,0.002172996113204353,0.01024261901652944,0.014919489344807227,0.0036118749568743174,0.0018802269399986198
ics,0.0001253026010596127,-0.02005926162027712,0.0003097822642153598,0.00012595427475860205,0.00013567180809309298,5.10715942366406e-05,7.318216939752986e-05,0.00012516379340477842,0.00013514364636829708,0.0003385925583180507,0.0002408165127128648,0.00018990558908862703
dockq_wave,0.004572986343838554,-0.683314756607277,0.0002683416798214682,0.0012156421836076875,0.0005538300272421328,0.002172996113204353,0.00012516379340477842,0.0045715731967205546,0.005314745011682463,0.010913943124400836,0.0025711212907804674,0.0011356173216216106
oligo_gdtts,0.005317984882470483,-1.2861972452010677,0.022734247340273815,0.006513193662085214,0.0023955379100616893,0.01024261901652944,0.00013514364636829708,0.005314745011682463,0.019186642225509015,0.029531263392353516,0.007059196408798159,0.003698849183275825
tm_score,0.010919676955418256,-2.5550321701646777,0.028666515508035017,0.009666335131273407,0.0036266278576975257,0.014919489344807227,0.0003385925583180507,0.010913943124400836,0.029531263392353516,0.051270736782730905,0.011458973604734512,0.006466160642057528
qs_best,0.002572735466703217,-0.5243899767747948,0.008525625731024347,0.0027787459020625666,0.0013602780178473437,0.0036118749568743174,0.0002408165127128648,0.0025711212907804674,0.007059196408798159,0.011458973604734512,0.003571436437553302,0.0020994453886850413
ips,0.0011359228223700609,-0.365380689675418,0.0044531971584692255,0.0018104504766004138,0.0009756787046663982,0.0018802269399986198,0.00018990558908862703,0.0011356173216216106,0.003698849183275825,0.006466160642057528,0.0020994453886850413,0.002509792730945957
