,ics,ips,dockq_wave,tm_score,oligo_gdtha,qs_global,ilddt,qs_best,oligo_gdtts,rmsd,dockq_ave,lddt
ics,0.08369107029740747,0.0582507807577247,0.06734461218686051,0.0353107086006408,0.02940257664514497,0.08715089577778694,0.07520752550379306,0.08853836032051826,0.03612204167472554,-1.6611209553547732,0.0631584662175298,0.03668372106424259
ips,0.0582507807577247,0.04697960706381452,0.04735536619634366,0.024046236176798186,0.021362362872172483,0.061405752191951525,0.052126107459893864,0.06022040459678311,0.025456801535343025,-1.4752229147404394,0.043883604577827695,0.022789787224427954
dockq_wave,0.06734461218686051,0.04735536619634366,0.06645086993346605,0.03139397440955119,0.02621528513388157,0.07031267610295172,0.06403300359217053,0.0722572033606566,0.032443580220794285,-1.5861933487831839,0.060287595819404245,0.023476884132473796
tm_score,0.0353107086006408,0.024046236176798186,0.03139397440955119,0.04821655547518779,0.03623317647732663,0.04390434441983671,0.03423821032688706,0.045551362252839955,0.04522697811019804,-2.4687921548652043,0.03966711972811093,0.023707617293732067
oligo_gdtha,0.02940257664514497,0.021362362872172483,0.02621528513388157,0.03623317647732663,0.0388805746643099,0.03659393788056254,0.029703722770282555,0.03600140561665901,0.04271669042990348,-2.248839621799735,0.032626941228284134,0.022948895646280366
qs_global,0.08715089577778694,0.061405752191951525,0.07031267610295172,0.04390434441983671,0.03659393788056254,0.0950477794781012,0.07809578028346029,0.09567654180395319,0.044946227220624274,-2.2334356794272954,0.06919275505761252,0.03947160491532844
ilddt,0.07520752550379306,0.052126107459893864,0.06403300359217053,0.03423821032688706,0.029703722770282555,0.07809578028346029,0.07203331379440484,0.08077239356894077,0.03577575670706274,-1.6827544498653553,0.05996307411029787,0.034435993973078734
qs_best,0.08853836032051826,0.06022040459678311,0.0722572033606566,0.045551362252839955,0.03600140561665901,0.09567654180395319,0.08077239356894077,0.10022625114984703,0.045147552661553035,-2.1075455888108863,0.07126750046011349,0.040838560429075896
oligo_gdtts,0.03612204167472554,0.025456801535343025,0.032443580220794285,0.04522697811019804,0.04271669042990348,0.044946227220624274,0.03577575670706274,0.045147552661553035,0.04931989843930544,-2.603750070009445,0.04006196011055549,0.026242891157401957
rmsd,-1.6611209553547732,-1.4752229147404394,-1.5861933487831839,-2.4687921548652043,-2.248839621799735,-2.2334356794272954,-1.6827544498653553,-2.1075455888108863,-2.603750070009445,222.44528958811563,-2.0737874058765358,-1.1520070370889322
dockq_ave,0.0631584662175298,0.043883604577827695,0.060287595819404245,0.03966711972811093,0.032626941228284134,0.06919275505761252,0.05996307411029787,0.07126750046011349,0.04006196011055549,-2.0737874058765358,0.06252931060980395,0.023665277877259014
lddt,0.03668372106424259,0.022789787224427954,0.023476884132473796,0.023707617293732067,0.022948895646280366,0.03947160491532844,0.034435993973078734,0.040838560429075896,0.026242891157401957,-1.1520070370889322,0.023665277877259014,0.035778118418840696
