,ilddt,dockq_wave,qs_best,tm_score,dockq_ave,lddt,ics,ips,qs_global,rmsd,oligo_gdtts,oligo_gdtha
ilddt,0.12302781994948817,0.09744579459558633,0.1322288125279447,0.07665323191577808,0.09720038151551906,0.07572617579235036,0.11487110146756788,0.09595256206540788,0.1187301560398552,-4.606573821979678,0.0922510409798983,0.0849726205140196
dockq_wave,0.09744579459558633,0.09911630247004405,0.10783986629374177,0.0733618784925076,0.0984459009237838,0.053661208995314735,0.09716839862514767,0.08465934851905568,0.10210321539071526,-4.376712344220099,0.08542299480469434,0.07859430553825458
qs_best,0.1322288125279447,0.10783986629374177,0.14900933042261535,0.0841289877921176,0.10649822700153447,0.07965359532089919,0.1267917183115684,0.10708736134559681,0.13281669137190627,-5.157415918586994,0.0972811642804416,0.0877947854974745
tm_score,0.07665323191577808,0.0733618784925076,0.0841289877921176,0.08497607544780722,0.0723206889344767,0.053677190130727935,0.0776818644466096,0.07270851516521355,0.08292914108265315,-4.502991050876247,0.08101564600031622,0.07038929137392991
dockq_ave,0.09720038151551906,0.0984459009237838,0.10649822700153447,0.0723206889344767,0.09985407158573498,0.0537643723040161,0.09520109888947093,0.08170093003633282,0.1003540713867345,-4.331065912137346,0.08572003880294442,0.07963713898410717
lddt,0.07572617579235036,0.053661208995314735,0.07965359532089919,0.053677190130727935,0.0537643723040161,0.07377812735886301,0.06853065217178984,0.054930340692299566,0.07014550857180116,-2.934903520093143,0.06369612746945223,0.0580243313410013
ics,0.11487110146756788,0.09716839862514767,0.1267917183115684,0.0776818644466096,0.09520109888947093,0.06853065217178984,0.12407629505851757,0.10854704686691302,0.13166339213858713,-4.237395447941931,0.08814032133880965,0.08021490673520547
ips,0.09595256206540788,0.08465934851905568,0.10708736134559681,0.07270851516521355,0.08170093003633282,0.054930340692299566,0.10854704686691302,0.10690174915538216,0.11766966592918099,-3.962068230089371,0.0801678509031639,0.07235854399382442
qs_global,0.1187301560398552,0.10210321539071526,0.13281669137190627,0.08292914108265315,0.1003540713867345,0.07014550857180116,0.13166339213858713,0.11766966592918099,0.14297425316407267,-4.43700629368706,0.09146718993839258,0.08281544502309791
rmsd,-4.606573821979678,-4.376712344220099,-5.157415918586994,-4.502991050876247,-4.331065912137346,-2.934903520093143,-4.237395447941931,-3.962068230089371,-4.43700629368706,369.0202789545111,-4.753973371248666,-4.118248342576731
oligo_gdtts,0.0922510409798983,0.08542299480469434,0.0972811642804416,0.08101564600031622,0.08572003880294442,0.06369612746945223,0.08814032133880965,0.0801678509031639,0.09146718993839258,-4.753973371248666,0.10077211118837373,0.09254143985514118
oligo_gdtha,0.0849726205140196,0.07859430553825458,0.0877947854974745,0.07038929137392991,0.07963713898410717,0.0580243313410013,0.08021490673520547,0.07235854399382442,0.08281544502309791,-4.118248342576731,0.09254143985514118,0.08813141555886478
